StartDate,DistributionChannel,Progress,Duration,Finished,Consent,Age,Gender,Gender_identity,Gender_other_text,Teacher,Subject_prog,Klartdukankoda,Soc_stereotype_tech,Soc_stereotype_care,Pers_stereotype_tech,Pers_stereotype_care,Q1.RP1,Q2.RP2,Q3.RP3,Q4.RP4,Q5.RP5,Q6.RP6,Q7.RP7,Q8.RN1,Q9.RN2,Q10.RN3,Q11.RN4,Q12.RN5,Q13.RN6,Q14.RN7,Q15.LP1,Q16.LP2,Q17.LP3,Q18.LP4,Q19.LP5,Q20.LP6,Q21.LP7,Q22.LN1,Q23.LN2,Q24.LN3,Q25.LN4,Q26.LN5,Q27.LN6,Q28.LN7,FL_6_DO
44228.5809,anonymous,100,579,1,1,42,2,2,-99,3,1,2,1,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27C3122,29C1303,17C1006,30C1065,27C2476,28C3024,20C1197,26C897,17C1434,29C1319,21C1574,25C1142,22C1675,30C994,24C994,18C930,21C865,20C833,22C869,25C898,END","13C1545,2C1260,5C1071,11C856,11C984,9C792,12C722,1C792,10C806,2C857,3C1026,12C925,4C1076,1C1539,3C1062,10C1007,15C812,5C1040,9C1117,7C1188,END","3C1780,22C2529,9C2389,25C3338,4C1601,30C1293,11C1089,29C2215,13C2059,18C1190,10C992,28C1414,2C936,24C1167,15C1570,21C1061,5C852,27C1912,1C2177,17C1423,END","4C1311,26C1267,15C1123,26C1209,13C1230,22C926,7C1029,21C888,1C1168,22C1301,12C1350,20C978,11C850,24C1211,2C866,28C919,11C894,29C1476,9C1581,20C1392,5C1032,29C1905,2C1343,24C939,10C901,21C848,3C1012,25C1244,12C974,17C841,10C1084,27C1378,5C880,30C852,4C1040,18C960,9C798,30C1189,7C1259,25C1500,END","20C1867,20C937,22C797,30C815,21C817,30C967,26C1232,29C1841,17C963,25C1474,17C834,27C1039,20C861,20C783,22C2315,28C997,18C879,25C967,30C1276,27C1222,25C2575,28C1555,26C998,18C777,17C730,28C1014,17C779,22C905,21C829,24C694,29C889,21C889,18C1534,29C1132,24C1236,24C919,26C1368,27C1011,25C2315,29C1491,END","12C1210,30C941,1C1236,26C1448,13C935,17C866,5C1173,25C1134,2C1334,21C1055,10C991,27C1280,7C1002,29C1339,4C1546,18C1298,11C1080,20X3704,9C1433,24C1455,END","10C1022,20C1256,13C1285,27C1157,2C796,22C827,12C865,17X2670,15C1521,27C1444,11C1020,21C846,5C1871,25C1046,15C1038,30C873,1C924,25C1503,4C921,29C1432,9C1588,18C967,5C1079,28C1145,13C1016,24C919,2C1156,21C878,7C733,28C984,4C992,17C948,9C800,29C1178,10C729,20C1052,3C968,26C766,1C928,22C891,END",IAT4-IncompatibleFirst[TargetAonLeftwithNeg]
44229.02598,anonymous,100,596,1,1,42,1,1,-99,3,1,3,2,3,2,3,"18C5606,29C1341,17C1008,24C957,17C930,21C987,30C949,27C1154,26C938,30C854,25C950,26C755,22C1130,22C850,24C765,27C881,28C1058,20C1005,18C1211,28C841,END","11C1547,13C888,2C789,7C917,4C762,10C817,3C897,12C813,15C1404,15C783,12C830,9C712,5C834,7C812,1C904,10C812,3C1155,2C664,5C740,13C764,END","5C2066,30C930,12C1354,20C1072,3X3933,27C1101,10C1683,21C820,2C1512,25C2263,4C1091,28C2529,1C20756,18C897,11C1334,17C949,9C1065,24C731,15C780,26C1406,END","7C894,30C726,3C863,18C787,10C1028,29C1160,3C1423,27C857,9C1776,27C975,13C693,25C859,2C702,22C789,13C611,24C697,11C698,26C1120,4C1196,24X2061,5C1212,28C939,12C894,28C3049,12C1714,30C754,11C775,25C914,10C662,17C755,2C805,17C756,1C662,20C732,7C594,18C740,15C909,21C706,1C1090,20C759,END","24X2288,27C1141,28C1909,28C780,18C767,29C1348,22C907,26C1622,27C1408,17C763,17C790,29C2283,25C844,25C635,20X1375,26C1666,28C2767,30C968,25C705,25C681,18C785,17C854,18C850,20C838,24C792,27C1071,22C787,17C1252,29C1304,18C911,22C819,24C725,21C1527,20C719,28C810,26C1305,21C868,30C1262,21C732,30C613,END","15C1943,27C1735,9C1866,25C1989,1C1584,29C2929,2C1848,17C1166,5C1290,22C2880,4C1601,28C1956,10C1618,24C1835,3C1797,18C1603,11C1309,21C1972,12C773,30X1938,END","12C1464,17C1440,9C1177,25C1500,11C2602,22X3672,5C1658,27C2565,4C1202,21C2776,7C1183,17C1542,1C1919,29C1550,9C1232,18C1237,10C1058,30X1660,10C1564,25C1830,15C1653,28X2466,7C1967,21X2291,2C2299,24C1561,3C1539,30C1782,5C1366,27C1712,13C1162,18C1858,15C1595,28C3708,3C1128,26C1865,12C1347,22C1836,1C2285,20X3027,END",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IAT1-CompatibleFirst[TargetAonRightwithPos]
44229.30767,anonymous,100,12019,1,1,67+,1,1,-99,3,2,1,2,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28C15524,28X13984,21C1945,22C1045,18C872,25C891,26C855,25C1045,22C898,30C1030,29C1045,17C882,26C952,24C977,18X1873,20C1190,27C774,17C926,24C952,30C858,END","11C1801,11C1019,13C1099,12C863,5C769,15C902,4C802,10C907,2C721,15C789,2C977,13C844,1C856,5C712,4C677,1C704,9C776,12C843,3C787,7C783,END","1C1055,27C1308,3C1716,24C987,2C868,21C1022,9C1287,25C1159,15C1097,22C979,4C864,18C1071,13C1301,30C1086,12C915,29C1937,11C1388,20C1427,7C1562,26C1148,END","7C1845,26C1097,2C906,20C1130,1C885,25X1774,5C1005,30C1635,7C971,22C1078,1C956,24C921,5C939,27C1282,15C1378,28C990,12C931,25C895,11C1188,28C1140,2C842,29C1222,3C1420,17C886,12C912,27C901,13C936,18C995,4C996,29C1030,11C1209,21C901,9C803,18C830,10C720,17C804,10C675,21C824,13C669,22C685,END","20C1989,28C1033,24C1174,21C946,29C990,30C876,26C853,30C763,17C803,26C816,21C761,29C858,17C819,22C978,24C762,24C638,18C763,18C702,27C953,28C726,25C759,25C729,18C808,17C769,30X1442,24X2395,20C2246,21C824,28C955,27C1082,20C818,18C914,28C851,27C860,26C723,25C704,29C807,22C814,30C813,22C759,END","13C2050,25C789,15C711,27C806,7C756,28C801,4C783,17C853,11C800,22C1079,9C923,18C1142,1C755,24C819,3C715,29C769,10C639,26C686,2C703,20C999,END","15C973,25C759,4C687,28C848,9C640,24C803,12C691,30C795,11C637,18C734,13C791,18C728,7C811,29C780,10C790,21C890,3C717,20C951,2C690,26C813,12C644,22C788,7C681,22C696,1C724,20C899,9C639,25C748,10C606,26C659,5C1363,29C781,5C600,17C770,4C659,21C724,3C666,27X1483,11C803,28C728,END",IAT4-IncompatibleFirst[TargetAonLeftwithNeg]
44215.35297,anonymous,33,763764,0,1,999999,1,1,-99,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44224.20387,anonymous,87,182,0,1,50,2,2,-99,3,1,3,3,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IAT1-CompatibleFirst[TargetAonRightwithPos]
44224.23757,anonymous,2,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44224.27525,anonymous,26,38,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44224.50296,anonymous,24,61,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44242.12291,anonymous,100,1264,1,1,42,2,2,-99,2,1,2,1,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21C2262,22C1317,18C1260,28C1059,24C1175,27C1266,17C944,25C1192,28C968,22C870,26C1410,29C1239,25C1055,29C1044,17C822,21C841,27C922,20C1037,30C811,18C790,END","7C1076,12C729,15C814,3C775,13C782,12C755,1C747,9C783,10C863,7C789,13C686,4C902,15C707,11C891,5C743,1C866,3C851,11X1475,2C1106,5C927,END","12C987,29C1352,5C975,24C868,15C1069,25X2114,11C1768,20C1003,3C993,18C772,2C811,27C1058,13C761,28C1368,9C999,30C863,4C873,22C961,1C911,17C798,END","7C1015,18C795,15C731,29C870,2C798,22C908,7C763,20C1316,13C809,24C817,4C838,28C925,12C765,27C1094,11C870,25C1526,5C816,30C1145,12C746,26C810,2C732,21C809,10C679,30C1226,9C899,26C1344,3C911,29C1322,1C1000,22C806,11C760,28C1698,1C694,17C707,10C626,21C825,13C791,20C1802,4C751,24C846,END","25C1554,28C808,24C1157,20C808,25C937,18C968,27C1209,20C1087,29C1310,17C733,22C907,30C783,30C660,22C665,18C1012,26C844,26C976,21C778,29C823,17C734,28C1399,18C891,17C1425,26C977,29C1909,20X2221,24C928,28C1017,30C1457,17C761,25C962,25C726,24C893,30C738,27C1032,22C730,27C754,21C941,21C763,21C664,END","7C1642,20C1731,2C1091,24C3281,1C1168,26C1205,10C1627,30C1402,15C1004,28C1492,9C964,22C1657,5C1138,18C2851,4C1003,25C1323,12C992,21C1681,13C1454,27X2788,END","13C1662,27C1307,2C990,17C939,5C941,20C1553,12C1110,30C1147,5C670,28C1289,11C1491,26C1263,11C1418,27C1109,12C995,22C1043,10C862,18C776,15C721,17C630,13C658,22C899,4C708,30C629,15C742,18C1701,7C1221,20C948,3C1027,24C756,1C908,26C1787,2C958,28C986,9C845,21C1095,1C836,29C770,4C853,25C951,END",NA,NA,NA,NA,NA,NA,NA,IAT3-CompatibleFirst[TargetAonLeftwithPos]
44245.15216,anonymous,100,612,1,1,63 år,2,2,-99,3,2,3,1,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25X32407,21X3751,22C1451,29C1727,28C1457,22C1351,24C1251,27C1743,17C1266,30C1617,26C1405,18C1506,20X3551,18C1533,30C1986,21C1364,29C3425,28C4563,25C1424,20C1593,END","1C8579,12C1938,4C1758,4C1323,10C1236,2C1510,5C1216,11C1555,9C1375,10C2973,7C1418,15C1858,9C1280,5C1190,7C2372,3C1032,11C1309,3C1245,13C1298,13C993,END","9C4431,17C1144,2C2522,29C2982,7C2008,22C4122,4C1340,25C2438,1C1945,24C2842,13C3411,18C3829,3C2177,27X4043,10C1966,30C1042,12C2701,26C1712,15C1740,20C2178,END","13C2970,24C1989,4C2554,18C1720,7C1353,27C1964,11C2495,28C1628,12C1610,22X4091,15C3962,20C2928,2C1513,22C1629,1C1371,26C2154,15C1539,20C1856,9C1479,25C1636,5C1295,25X2142,5C2248,27C2047,7C1307,18C1458,9C1212,30C1444,13C1099,24C1816,4C1244,29C2449,10C1290,21C1441,1C1567,17X2868,3C1405,29C3153,12C1146,26C1724,END","21C3343,26C1547,30C966,27C1334,22C921,22C733,20C2034,24C957,20C791,24C729,24C604,29C946,25C881,29C1189,27C835,26C634,21C849,17C697,18C647,17C689,17C603,28C744,27C751,25C977,29C915,26C971,17C951,28C872,25C815,30C828,21C987,28C1607,21C954,25C1086,20C1416,18C1122,26C1076,30C805,22C743,18C869,END","12C3202,21C1598,11C1007,28C1158,3C987,25C1129,5C1210,24C1227,4C992,17C838,13C779,29C1017,7C959,18C937,15C865,20C1030,10C747,30C820,2C874,26C897,END","12C1144,28C900,5C809,28C730,10C744,22C697,3X1674,29C948,9C863,26C985,7C808,18C696,1C949,21C800,11C776,29C920,2C893,24C894,15C723,25C972,11C870,24C788,4C805,17C744,10C735,30C1034,13C831,22C886,12C790,30X1441,5C953,20C809,7C805,26C871,4C1130,21C865,1C983,17C796,9C839,27C771,END",IAT4-IncompatibleFirst[TargetAonLeftwithNeg]
44242.47375,anonymous,2,32,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44255.53979,anonymous,100,119,1,1,43,2,2,-99,2,1,2,1,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44259.27956,anonymous,100,404,1,1,50,1,1,-99,3,1,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,"21C2913,20C1313,28C1459,22X2704,17C1074,25C1099,24C942,27C1152,21C908,18C841,26C1108,20C954,27C965,22C851,17C827,29C874,30X1504,30C772,29X1516,25C999,END","5C2452,1C1290,2C1010,9C839,5C850,10C706,3C874,15C2153,3C1208,7C1156,4C988,10C962,1C796,11C796,9C714,15C694,13C1223,2C862,12C951,13C1467,END","9C910,26C2662,11C1896,30C1623,4C2269,28C1525,3C1974,24C1232,2C1087,22C1133,7C1460,17C975,5C984,25C1854,10C1460,21C1096,12C881,20C897,15C1437,29C2448,END","13C3588,30C1155,9C795,22C1512,4C962,29C1311,9C916,27C973,3C1448,29C1021,5C993,27C871,11C988,28C1286,4C1792,18C885,10C739,20C987,13C796,28C996,7C1166,18C1290,15C713,26C1156,12C2033,24C773,5C905,24C1064,1C1392,21C1500,3C1527,25C1143,2C735,25C839,7C931,17C1133,10C784,21C1235,11C671,17C1323,END","18C2631,30C1128,26X1673,30C1075,20C997,29C1369,18C1346,17C1278,30C998,24C896,26C931,22C997,22C1097,29C884,28C1853,28C1468,28C964,26C1009,18C864,25C1006,30C806,28C815,18X1391,17C928,20C841,21C826,27C1156,25C1143,25C885,27C1141,24C929,22C1119,29C1155,27C1526,21C874,17C873,21C841,24C953,17C952,20C786,END","11C855,25C837,9C728,27C1448,3C1087,24C849,2C997,30X1321,7C1624,21C998,4C830,26C1119,13C1909,22C1302,5C1042,29C1235,12C851,17C1873,10C918,20C1052,END","11C2193,22C1144,2C986,27C1107,9C694,24C1906,13C917,21C929,7X1256,28C873,1C2065,30C841,3C972,29C1908,10C681,26C840,12C740,21C1153,2C1020,25C1122,4C885,28C930,15C818,18X1425,12C920,27C1606,11C774,25C862,9C852,20C965,1C1098,17C861,5C908,18C897,15C749,24C1009,3C830,22C893,5C780,30C983,END",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IAT2-IncompatibleFirst[TargetAonRightwithNeg]
44259.2975,anonymous,100,296,1,1,38,2,2,-99,3,2,3,3,3,3,3,"30C1674,25C1105,22C755,17C740,20C2676,25C729,21C906,24C859,28C664,20C1400,26C685,18C880,29C1110,27C807,27C586,18C906,26C678,17C704,21C843,30C649,END","2C1782,5C702,11C648,7C3413,5C651,15C617,13C649,1C685,4C665,11C630,10C794,1C885,13C534,2C555,15C587,3C618,9C633,12C649,9C557,4C702,END","10C842,26C757,2C706,30C732,1C640,20C819,7C1275,18C954,9C609,29C860,3C742,27C1330,15C763,21C771,4C603,17C633,11C561,25C703,13C647,24C652,END","4C708,26C652,11C1941,24C1558,9C647,30C782,10C602,30C960,2C1137,17C656,1C768,27C631,13C698,22C703,12C661,25C795,4C593,28C657,5C636,28C706,11C699,17C731,5C822,18C861,15C596,24C1235,7C888,22C887,3C599,20C1092,10C899,29C657,2C630,21C806,1C871,26C1040,13C641,20C1203,12C656,25C891,END","17C1094,20C973,29C681,22C840,29C642,25C663,18C680,26C609,17C588,22C603,21C731,21C558,26C685,27C591,17C579,20C712,20C549,18C758,27C616,30C634,29C798,30C525,24C876,26C671,28X1311,25C1090,24C607,25X1154,26C680,30C717,28C646,22C670,27C1279,24C572,30C657,22C648,17C813,28C606,21C717,18C1114,END","7C970,27C690,3C603,21C704,10C597,22C787,9C516,20C792,11C577,17C808,12C638,28C685,4C530,30C848,2C610,18C703,13C515,29X1379,1C1064,26C709,END","1C747,26C628,10C642,25C669,12C662,29C1052,9C649,21C1226,12C666,28C1142,13C608,24C880,9C666,25C847,5C722,21C755,2C652,28C1068,3C557,30C682,7C560,22C706,15C511,26C824,15C615,18C759,5C654,30X1089,4C615,18C1081,11C1261,17C1101,1C655,22C962,7C732,20C681,10C631,24C958,2C661,27C963,END",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IAT1-CompatibleFirst[TargetAonRightwithPos]
44259.31625,anonymous,100,537,1,1,43,2,2,-99,3,1,3,2,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17C1101,18C866,22C1047,28C884,24C906,20C1930,24C948,27C927,27C934,20C868,28C899,26C876,29C2279,17C902,30C951,18C928,29C1042,21C965,25C992,25C848,END","7C1457,3C793,13C779,10C827,2C826,15C775,5C932,9C730,1C813,7C893,15C1000,12C812,12C796,11C832,5C720,4C949,4C703,2C786,9C823,13C693,END","12C1091,21C941,5C970,20C1558,9C1079,30C954,4C836,26C907,11C834,28C973,7C854,17C893,2C1218,25C918,3C1022,18C1605,10C1306,22C950,13C904,27C1511,END","12C2214,24C2053,13C1008,21C1366,5C955,24C916,11C1033,26C1200,12C893,17C1350,1C1112,30C1423,2C1244,27C1385,3C1217,17C1537,4C842,18C782,9C922,20C1023,15C754,28C856,7C646,25C951,9C768,18C1363,7C789,29C1095,1C754,25C1086,3C817,29C1117,15C1001,22C1002,10C808,20C7082,2C972,28C1033,10C1060,26C4623,END","29C1114,27C1298,20C811,22C775,20C746,29C918,30C792,20C1063,22X3938,24C921,17C755,24C818,26C1009,18C795,30C798,17C687,27C899,28C728,17C820,22C664,25C859,25C1001,24C796,18C1317,26C902,26C708,20C1131,25C1026,29C1861,28C811,21C1363,18C872,25C2771,30C995,28C906,21C1117,24C921,26C1116,21C1154,27C802,END","10C1341,25C1397,11C877,29C1268,2C872,20C1217,15C849,30C991,7C963,18C813,13C880,17C936,4C1259,22C805,9C826,26C862,5C744,27C1771,1C888,24C1137,END","12C4215,17C885,15C800,20C1225,1C743,21C901,13C758,22C678,5C677,27C1759,13C841,24C1129,11C793,25C1639,9C2455,30C1516,15C866,28C2052,12C806,30C913,2C1144,18C3172,1C740,21C848,3C845,29C2196,3C747,25C1123,4C955,18C812,7C687,26C887,10C623,26C1144,5C703,28C853,2C807,22C923,11C962,17C881,END",IAT4-IncompatibleFirst[TargetAonLeftwithNeg]
44259.39826,anonymous,100,730,1,1,62,2,2,-99,3,1,2,1,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18C25939,17C3056,18C1212,29X20631,26C8153,21C2249,20C1978,24C2217,28C1746,21C1460,28C1788,18C1399,17C1641,22C2355,24C1258,22C1168,30C1215,29C1890,27C1239,29C1040,30C1243,25C1153,27C1045,17C1067,END","11C3575,3C2564,7C1768,11C1323,5C1443,9C1174,12C1556,15C1081,7C1319,15C1119,4C1537,5C1236,1C1039,10C1131,12C1126,3C1076,9C1228,2C1056,2C1098,13C998,END","2X18939,22C10842,12C6571,30X4230,7C2860,18C4502,10C2047,27C1661,5C7101,29X3862,9C2878,28X3153,11C2175,17C1996,1C3872,24C4892,4C4921,25X3113,15C1917,21C2157,END","5C1818,24C1219,4C1233,29X2770,1C3212,27X2590,11C2374,20C1558,3C1286,27X2362,1X2947,29C2240,15C1130,20X2294,10C1745,28X2829,9C2063,26X2601,11C1209,21C2096,2X1859,28X2783,13C1968,18C1561,2C1101,18C1168,13C1485,22C1812,12C1552,30C1223,9C901,30C1183,3X3870,17C1697,15X3812,22C3607,7C1415,17C1691,7C1406,25X6312,END","30C3280,29C2178,22C1487,30C1327,27C1999,17C1108,18C1202,24C958,26C1219,24C1207,22C1433,27C893,29C1830,24C1038,21C1294,28C1252,26C1345,25X1889,22C2741,26C1091,27C1278,28C999,30C874,25C978,21C1021,17C718,21C781,18C853,26C1121,25C1278,28C947,20C1222,17C883,20C916,20C950,18C869,18C779,24C983,29X1868,25C1422,END","10C2920,20C1546,15C1233,27C1515,5C1088,21C1692,1C1591,28C1008,13C1328,18C1143,4C1040,22C998,12C1082,17C1308,11C1318,26C1475,2C1181,25C2178,7C1098,29C1563,END","1C2884,21C1046,2C1038,28C1050,3C1013,26C1072,7C888,28C931,13C984,25C1216,15C1147,30C1160,9C1100,26C1098,10C1123,30C1095,1C1111,17C1542,3C1298,24C861,9C1074,17C892,12C926,25X1930,2C1366,20C1458,5C970,18C858,11C1021,22C1109,12C1107,22C981,4C3412,27C1295,5C1173,20C1333,13C963,29C1800,15C1093,24C981,END",IAT4-IncompatibleFirst[TargetAonLeftwithNeg]
44259.59216,anonymous,100,508,1,1,61,2,2,-99,3,1,3,2,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30C8873,24C1322,21C1495,28C1090,18C1110,25C1160,30C882,18C1059,20C1530,26C1011,25C1020,28C879,27C844,17C920,22C871,26C917,21C1083,17C1103,29C1426,24C1109,END","11C959,5C1023,15C811,4C818,9C932,1C853,1C869,10C802,11C803,3C873,7C907,3C871,13C828,13C839,2C910,12C842,5C863,9C837,4C850,12C938,END","2C1065,29X2738,10C1679,21X2113,5C2235,24C1859,3C1338,17C1575,7C1248,20C2101,15C1117,30C2077,11C1670,22C1309,4C1007,27C1552,9C1435,28C1329,12C1179,25C1450,END","12C1096,29C1446,11C1206,20C1224,4C1333,21C1101,5C1488,27C1467,7C1585,24C1279,12C1269,18C1290,9C1246,29C1392,10C976,22C1104,11C715,22C960,1C859,30C1321,10C1171,24C903,2C848,28C1107,13C929,25C1564,13C879,18C951,7C871,25C1274,4C1239,17C911,2C861,27C1351,15C1302,26C1045,3C1619,21C1112,1C1034,26C1118,END","18C1280,17C889,25C813,30C1101,21C796,20C920,26C853,28C939,17C741,26C1000,28X1297,22C886,18C833,20C846,29C1012,27C1042,26C899,24C812,27C787,22C759,17C813,24C869,20C907,26C765,18C766,24C844,25C788,29C1062,22C738,30C776,28C1068,21C823,29C739,17C740,30C750,25C1174,20C900,27C835,28C1446,21C843,END","3C912,26C801,10C837,30C898,12C840,18C823,13C788,17C794,5C667,21C1044,11C827,22C743,7C827,24C752,2C776,25C830,15C740,29C1128,4C1041,28C879,END","13C832,20C994,10C879,20C1194,11C781,28C858,15C800,30C972,4C882,22C845,1C1016,26C825,10C778,28C988,7C844,17C766,15C772,22C768,9C764,27C1035,11C3137,18C803,5C1110,24C928,2C808,25C830,3C873,29C2306,12C800,21C1485,12C774,21C821,4C760,30C907,5C784,25C1287,3C1050,26C907,7C768,24C825,END",IAT4-IncompatibleFirst[TargetAonLeftwithNeg]
44260.34994,anonymous,100,547,1,1,56,1,1,-99,4,1,2,2,2,1,4,NA,NA,NA,NA,NA,NA,NA,"17X17680,30X6036,28C1510,22X5912,25C2141,17C1790,18X2539,22X2809,24C1718,21X2874,20C2276,28X2025,27C885,27C1827,29C1139,18X2242,30C1544,21X2543,29X8755,26C4035,END","12X2447,15C1053,15C800,5C998,1C768,10C821,13C1248,12C895,3C789,13C1089,11X1761,3C1255,2C1147,7C999,9X1545,2C1116,4C1546,9C781,1C929,4C1017,END","1C4065,27C4042,10C2410,22C1358,2C1165,17C1180,7C1202,21X2140,12C1219,20C1217,3C1015,30C1609,4C1060,18C982,15C1538,26C2534,11C1630,25C1875,9C1272,28C1552,END","10C2439,22C1801,15C1292,25C1448,13C1033,22C1571,7C1870,28C1307,2C1108,30C1041,2C1065,29C2005,10C1088,29C1260,5C1412,27C1646,7C956,24C1054,3C1071,21C1212,9C1190,25C1328,9C1091,18C1518,13C1523,17C1052,15C1056,20C1818,3C1095,24C1239,12C1342,28C1302,1C939,21C1576,11X2337,30C1612,1C1061,26C1327,4C999,20C1029,END","26C3801,17C1785,18C1596,24C856,27C1756,26C1418,26C894,22C1213,29C1723,30C1258,21C1544,17C780,29C1341,17C1030,28C1348,25C1012,24C852,22C821,28C864,18C869,22C910,25C933,29C1335,18C1084,24C1116,29C928,30X2042,27C1635,25C874,28C991,24C883,27C1086,20X4319,30C1154,18C978,26C1148,21C2138,21C729,20C1115,20C746,END","15C1499,18C1086,4C1312,20C930,10C1593,22C1302,12C1263,26C1764,7C1082,25C1082,1C1682,21C2379,3C1467,30C1099,13C1603,28C1395,9C1285,24C851,5C1152,29C2074,END","10C2585,20C3085,15C1190,26C1531,4C962,17C1105,3C1069,30C1421,10C1429,21C2000,3C858,25C963,9C1027,20C1271,4C1076,27C979,7C1161,27C2304,2C976,24C1032,11C1391,29C1011,13C1121,22C818,11C1352,21X2093,15C1430,22C975,2C871,18C1155,1C1309,29C902,9C776,24C807,1C939,30C1263,5C926,28C1280,12C974,28C890,END",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IAT2-IncompatibleFirst[TargetAonRightwithNeg]
44260.63898,anonymous,100,90,1,1,34,2,2,-99,2,1,3,1,5,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44262.03554,anonymous,100,83,1,1,47,2,2,-99,1,1,3,2,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
